Date,Close,High,Low,Open,Volume,Ticker,Target_Returns,Lag_1,Lag_2,Lag_3,MA7,MA21,Volatility
2025-12-26T00:00:00.000000,190.52999877929688,192.69000244140625,188.0,189.9199981689453,139740300,NVDA,0.010179726222003608,-0.003171111898024422,0.030050651636425982,0.0149179339537849,182.58714512416296,181.25428626650856,7.681182211813604
2025-12-29T00:00:00.000000,188.22000122070312,188.75999450683594,185.91000366210938,187.7100067138672,120006100,NVDA,-0.012124062212741461,0.010179726222003608,-0.003171111898024422,0.030050651636425982,185.05571637834822,181.6338123139881,5.879619997633044
2025-12-30T00:00:00.000000,187.5399932861328,188.99000549316406,186.92999267578125,188.24000549316406,97687300,NVDA,-0.0036128356718739384,-0.012124062212741461,0.010179726222003608,-0.003171111898024422,186.97000122070312,182.13618614560082,3.385925207701054
2025-12-31T00:00:00.000000,186.5,190.55999755859375,186.49000549316406,189.57000732421875,120100500,NVDA,-0.005545448029029615,-0.0036128356718739384,-0.012124062212741461,0.010179726222003608,187.75714329310827,182.44999622163317,2.1950831732114953
2026-01-02T00:00:00.000000,188.85000610351562,192.92999267578125,188.25999450683594,189.83999633789062,148240500,NVDA,0.012600568919654826,-0.005545448029029615,-0.0036128356718739384,-0.012124062212741461,188.4942866734096,182.80238196963356,1.2753687503901823
2026-01-05T00:00:00.000000,188.1199951171875,193.6300048828125,186.14999389648438,191.75999450683594,183529700,NVDA,-0.0038655597709008234,0.012600568919654826,-0.005545448029029615,-0.0036128356718739384,188.33857073102678,183.20904831659226,1.2394554924503685
2026-01-06T00:00:00.000000,187.24000549316406,192.1699981689453,186.82000732421875,190.52000427246094,176862600,NVDA,-0.004677810157688217,-0.0038655597709008234,0.012600568919654826,-0.005545448029029615,188.14285714285714,183.39285786946616,1.2963117069133008
2026-01-07T00:00:00.000000,189.11000061035156,191.3699951171875,186.55999755859375,188.57000732421875,153543200,NVDA,0.009987155855193412,-0.004677810157688217,-0.0038655597709008234,0.012600568919654826,187.94000026157923,183.71190534319197,0.9157336897449403
2026-01-08T00:00:00.000000,185.0399932861328,189.5500030517578,183.7100067138672,189.11000061035156,172457000,NVDA,-0.02152190424135594,0.009987155855193412,-0.004677810157688217,-0.0038655597709008234,187.4857134137835,183.6876191638765,1.4093978195887915
2026-01-09T00:00:00.000000,184.86000061035156,186.33999633789062,183.6699981689453,185.0800018310547,131072000,NVDA,-0.0009727230993946374,-0.02152190424135594,0.009987155855193412,-0.004677810157688217,187.1028573172433,183.68238103957404,1.7216166419061032
